id,created_at,csp_id,first_name,last_name,email,cell,team_number,team_letter,executive,weekday
100,2024-02-19 01:29:21.710311+00,1859498694,Aaron,Adams,fake@gmail.com,555-555-5555,1,a,,false
101,2024-02-19 01:29:21.710311+00,18596486940,Bella,Allen,fake@gmail.com,555-555-5555,1,b,,false
102,2024-02-19 01:29:21.710311+00,12686494060,Cody,Anderson,fake@gmail.com,555-555-5555,1,c,,true
103,2024-02-19 01:29:21.710311+00,1795978504,Daisy,Armstrong,,555-555-5555,1,d,,false
104,2024-02-19 01:29:21.710311+00,16860495879,Evan,Austin,fake@gmail.com,555-555-5555,1,e,,false
105,2024-02-19 01:29:21.710311+00,176966032,Fiona,Andrews,fake@gmail.com,,1,f,,false
106,2024-02-19 01:29:21.710311+00,19583035079,Gregory,Alexander,fake@gmail.com,555-555-5555,1,g,,false
107,2024-02-19 01:29:21.710311+00,1685943068,Holly,Atkins,fake@gmail.com,555-555-5555,1,h,apl,false
108,2024-02-19 01:29:21.710311+00,1363756947,Isaac,Arnold,fake@gmail.com,555-555-5555,1,i,,false
109,2024-02-19 01:29:21.710311+00,1869404684,Jessica,Ardon,,555-555-5555,1,j,,false
110,2024-02-19 01:29:21.710311+00,256849454,Adam,Baker,fake@gmail.com,555-555-5555,2,a,,false
111,2024-02-19 01:29:21.710311+00,29840496849,Brianna,Brooks,fake@gmail.com,555-555-5555,2,b,,false
112,2024-02-19 01:29:21.710311+00,296849565,Cole,Bennett,fake@gmail.com,555-555-5555,2,c,,false
113,2024-02-19 01:29:21.710311+00,286953546,Dylan,Brown,fake@gmail.com,555-555-5555,2,d,,false
114,2024-02-19 01:29:21.710311+00,2659450635,Emma,Butler,,555-555-5555,2,e,,false
115,2024-02-19 01:29:21.710311+00,2659040485,Felix,Barnes,fake@gmail.com,555-555-5555,2,f,,false
116,2024-02-19 01:29:21.710311+00,2684040568,Grace,Bell,fake@gmail.com,555-555-5555,2,g,,false
117,2024-02-19 01:29:21.710311+00,29603450569,Henry,Burns,fake@gmail.com,,2,h,,false
118,2024-02-19 01:29:21.710311+00,2569045686,Ivy,Black,fake@gmail.com,555-555-5555,2,i,,false
